iter	Passed	Remaining
0	1	145
1	2	129
2	3	120
3	5	125
4	6	120
5	7	115
6	8	117
7	12	145
8	14	143
9	15	140
10	16	136
11	17	131
12	18	125
13	19	121
14	20	116
15	21	113
16	22	109
17	23	107
18	26	111
19	28	112
20	29	109
21	30	107
22	31	104
23	32	101
24	33	99
25	34	97
26	35	95
27	36	92
28	37	90
29	38	89
30	39	88
31	42	89
32	43	88
33	44	87
34	46	85
35	47	83
36	47	81
37	48	79
38	49	77
39	50	76
40	51	74
41	52	72
42	53	71
43	55	70
44	56	69
45	57	67
46	59	66
47	60	65
48	61	64
49	62	62
50	63	61
51	64	59
52	65	58
53	66	56
54	66	54
55	67	53
56	69	52
57	71	51
58	72	50
59	73	49
60	74	47
61	75	46
62	76	44
63	77	43
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	85	36
70	87	35
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	94	26
78	95	25
79	96	24
80	98	23
81	100	22
82	101	20
83	102	19
84	103	18
85	104	17
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	113	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
