iter	Passed	Remaining
0	155	155830
1	158	79226
2	162	54064
3	168	42050
4	172	34289
5	175	29012
6	179	25415
7	208	25885
8	216	23868
9	221	21923
10	223	20128
11	231	19026
12	237	18003
13	240	16908
14	249	16404
15	255	15743
16	262	15165
17	306	16717
18	326	16856
19	342	16773
20	350	16345
21	383	17026
22	389	16545
23	392	15950
24	395	15430
25	398	14920
26	401	14459
27	407	14161
28	410	13745
29	413	13361
30	416	13018
31	424	12836
32	431	12635
33	437	12430
34	440	12132
35	443	11880
36	448	11665
37	451	11419
38	457	11278
39	462	11110
40	468	10947
41	472	10781
42	474	10558
43	476	10349
44	481	10213
45	486	10079
46	491	9960
47	497	9873
48	501	9742
49	505	9605
50	512	9531
51	514	9375
52	517	9252
53	520	9116
54	527	9055
55	530	8947
56	534	8845
57	537	8721
58	542	8645
59	546	8555
60	548	8448
61	551	8345
62	555	8257
63	557	8150
64	561	8070
65	564	7987
66	569	7927
67	573	7854
68	577	7788
69	580	7718
70	583	7639
71	586	7559
72	589	7486
73	596	7461
74	602	7427
75	609	7409
76	615	7383
77	626	7403
78	641	7482
79	645	7427
80	650	7377
81	655	7339
82	657	7260
83	664	7243
84	668	7191
85	671	7137
86	674	7080
87	677	7017
88	681	6973
89	685	6934
90	690	6900
91	697	6883
92	701	6838
93	705	6798
94	709	6756
95	713	6716
96	717	6675
97	720	6633
98	724	6594
99	728	6552
100	734	6539
101	737	6489
102	743	6476
103	748	6446
104	751	6404
105	756	6378
106	759	6337
107	762	6297
108	766	6262
109	768	6221
110	773	6192
111	775	6147
112	778	6111
113	783	6087
114	789	6072
115	792	6039
116	794	5998
117	797	5959
118	801	5936
119	804	5899
120	806	5859
121	808	5819
122	817	5831
123	823	5814
124	826	5782
125	829	5755
126	832	5724
127	835	5693
128	837	5657
129	842	5641
130	850	5638
131	853	5611
132	857	5588
133	859	5555
134	862	5528
135	865	5497
136	867	5463
137	875	5468
138	878	5444
139	881	5413
140	884	5391
141	886	5355
142	889	5332
143	893	5312
144	896	5285
145	898	5254
146	902	5234
147	904	5206
148	907	5180
149	909	5151
150	910	5121
151	913	5094
152	917	5077
153	919	5048
154	921	5025
155	925	5009
156	928	4984
157	932	4967
158	934	4943
159	938	4925
160	939	4896
161	941	4869
162	943	4846
163	947	4827
164	949	4803
165	952	4784
166	954	4760
167	957	4743
168	961	4726
169	964	4711
170	967	4690
171	969	4667
172	973	4652
173	975	4630
174	977	4606
175	980	4590
176	983	4570
177	984	4548
178	989	4538
179	991	4517
